word,url
嗚呼,https://ja.wiktionary.org/wiki/%E5%97%9A%E5%91%BC
アーカイバー,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%AB%E3%82%A4%E3%83%90%E3%83%BC
アーカイブ,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%AB%E3%82%A4%E3%83%96
アーキテクト,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%AD%E3%83%86%E3%82%AF%E3%83%88
アーキビスト,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%AD%E3%83%93%E3%82%B9%E3%83%88
アーク,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%AF
アークスペクトル,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%AF%E3%82%B9%E3%83%9A%E3%82%AF%E3%83%88%E3%83%AB
アーク灯,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%AF%E7%81%AF
アーク放電,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%AF%E6%94%BE%E9%9B%BB
アーク溶接,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%AF%E6%BA%B6%E6%8E%A5
アークライト,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%88
アークランプ,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%AF%E3%83%A9%E3%83%B3%E3%83%97
アーク炉,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%AF%E7%82%89
AG,https://ja.wiktionary.org/wiki/AG
アーケード,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%B1%E3%83%BC%E3%83%89
アース,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%82%B9
アーチ,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%81
アーチェリー,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%81%E3%82%A7%E3%83%AA%E3%83%BC
アーチ橋,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%81%E6%A9%8B
アーティキュレーション,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AD%E3%83%A5%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3
アーティクル,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB
アーティスティックスイミング,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%86%E3%82%A3%E3%82%B9%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF%E3%82%B9%E3%82%A4%E3%83%9F%E3%83%B3%E3%82%B0
アーティスト,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%86%E3%82%A3%E3%82%B9%E3%83%88
アーティチョーク,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%86%E3%82%A3%E3%83%81%E3%83%A7%E3%83%BC%E3%82%AF
アート,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%88
アードウルフ,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%89%E3%82%A6%E3%83%AB%E3%83%95
アートタイプ,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%88%E3%82%BF%E3%82%A4%E3%83%97
アートフラワー,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%88%E3%83%95%E3%83%A9%E3%83%AF%E3%83%BC
アートペーパー,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%88%E3%83%9A%E3%83%BC%E3%83%91%E3%83%BC
アーヒラ,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%92%E3%83%A9
アーム,https://ja.wiktionary.org/wiki/%E3%82%A2%E3%83%BC%E3%83%A0
